"PERSONES_LLAR","PROVINCIA","HABITAT","COMARCA","CIUTADANIA","SEXE","EDAT","LLOC_NAIX","SIT_ECO_PERSONAL","INF_POL_DIARI_FREQ","INF_POL_TV_FREQ","INF_POL_RADIO_FREQ","INF_POL_XARXES_FREQ","INF_POL_CONEGUTS_FREQ","INF_POL_TV_CANAL","INF_POL_RADIO_EMISORA","INF_POL_PREMSA_DIARI","INF_POL_OBJ_CAP_OPOSICIO","INF_POL_OBJ_GOVERN_CAT","INF_POL_OBJ_RANG_ESCOLARITZACIO","INF_POL_OBJ_INI_ESCOLARITZACIO","INF_POL_OBJ_FI_ESCOLARITZACIO","COLLECTIU_DISCRIMINAT","LLOC_NAIX_PARE","LLOC_NAIX_MARE","GRUP_ETNIC","RELIGIO","SIT_LAB","ESTUDIS_1_15","GENERE","ORIENTACIO_SEXUAL","ESTAT_CIVIL","LLENGUA_PRIMERA","LLENGUA_IDENTIFICACIO","BENESTAR_COTXE_PROPI","BENESTAR_VACANCES","BENESTAR_SUPORT_LLAR","BENESTAR_PROPIETATS","BENESTAR_FACTURES","TIPUS_LLAR","INGRESSOS_1_15","DISCAPACITAT","Clusters"
1,"Barcelona","2.001-10.000 habitants","Alt Penedès","Sí, tinc la ciutadania (espanyola)","Masculí",74,"Catalunya","Igual","Mai","1-2 dies per setmana","1-2 dies per setmana","Mai","3-4 dies per setmana","Canal 3/24","Catalunya Ràdio","El Periódico (català)","No ho sap","No ho sap","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Cap: Agnosticisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Divorciat/ada","Català (valencià / balear)","Català (valencià / balear)","No","Sí","Sí","No","No","Jo sol/a","No contesta","No","2"
2,"Barcelona","2.001-10.000 habitants","Alt Penedès","Sí, tinc la ciutadania (espanyola)","Femení",88,"Catalunya","Pitjor","1-2 dies per setmana","Tots els dies","Amb menys freqüència","Mai","Mai","TV3","Catalunya Ràdio","Altres diaris comarcals/locals","No ho sap","Incorrecte","Aproximat","3","16","No","Catalunya","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Heterosexual","Vidu/a","Català (valencià / balear)","Català (valencià / balear)","No","No","No","No","No","Monoparental: pare/mare amb fills/es","No ho sap","No","3"
3,"Barcelona","2.001-10.000 habitants","Alt Penedès","Sí, tinc la ciutadania (espanyola)","Femení",43,"Catalunya","Igual","Mai","Tots els dies","Mai","Mai","1-2 dies per setmana","La 1","No escolta els informatius","No llegeix diaris","No ho sap","No ho sap","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 2.401 a 3.000 €","Sí","2"
3,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Masculí",25,"Catalunya","Igual","Mai","Mai","Mai","1-2 dies per setmana","Mai","TV3","Rac 1","Altres diaris autonòmics","No ho sap","No ho sap","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Home","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella amb fills/es","No ho sap","No","2"
2,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Masculí",63,"Catalunya","Pitjor","Mai","Tots els dies","Tots els dies","Mai","5-6 dies per setmana","TV3","Rac 1","No llegeix diaris","Aproximat","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Vidu/a","Castellà","Català (valencià / balear)","Sí","No","No","Sí","No","Monoparental: pare/mare amb fills/es","De 1001 a 1200 €","No","2"
2,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Femení",65,"Altres comunitats autònomes","Igual","1-2 dies per setmana","Tots els dies","Mai","1-2 dies per setmana","1-2 dies per setmana","TV3","Catalunya Ràdio","ElNacional.cat","Correcte","Incorrecte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Casat/ada","Castellà","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 2.401 a 3.000 €","No","3"
3,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Masculí",50,"Catalunya","Pitjor","Mai","Mai","Mai","Mai","Mai","No mira els informatius","No escolta la ràdio / No té ràdio","Diaris esportius","No ho sap","No ho sap","Incorrecte","3","18","No","Catalunya","Altres comunitats autònomes","Blanc/a","Cap: Agnosticisme","No treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Casat/ada","Castellà","Català (valencià / balear)","Sí","No","No","No","No","Parella amb fills/es","De 1.201 a 1.800 €","Sí","2"
3,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Femení",55,"Catalunya","Millor","Mai","Mai","Mai","Amb menys freqüència","Mai","TV3","No escolta la ràdio / No té ràdio","Altres diaris autonòmics","No ho sap","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Bisexual","Divorciat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","Sí","Parella amb fills/es","No contesta","No","3"
4,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Masculí",22,"Altres comunitats autònomes","Millor","Mai","Mai","5-6 dies per setmana","Tots els dies","1-2 dies per setmana","TV3","No té cap emissora habitual","No llegeix diaris","No ho sap","Incorrecte","Incorrecte","6","15","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","Treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Home","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","Sí","No","Parella amb fills/es","De 4.001 a 4.500 €","No","2"
2,"Barcelona","2.001-10.000 habitants","Osona","Sí, tinc la ciutadania (espanyola)","Masculí",49,"Catalunya","Pitjor","Mai","1-2 dies per setmana","Mai","5-6 dies per setmana","Amb menys freqüència","TV3","No escolta els informatius","No llegeix diaris","Correcte","Incorrecte","Incorrecte","0","16","Sí","Catalunya","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","No treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Divorciat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","No","Sí","Sí","Sí","Dues persones o més que no són parella","No ho sap","Sí","3"
