"","ESP_CAT_0_10","ESP_CAT_0_10_CEC","ESP_CAT_0_10_Cs","ESP_CAT_0_10_CUP","ESP_CAT_0_10_ERC","ESP_CAT_0_10_JXCAT","ESP_CAT_0_10_PPC","ESP_CAT_0_10_PSC","ESP_CAT_0_10_VOX","IDEOL_0_10","IDEOL_0_10_CEC","IDEOL_0_10_Cs","IDEOL_0_10_CUP","IDEOL_0_10_ERC","IDEOL_0_10_JXCAT","IDEOL_0_10_PPC","IDEOL_0_10_PSC","IDEOL_0_10_VOX","RISCOS","SIMPATIA_CEC_0_10","SIMPATIA_CONTRARIS_FEMINISME_0_10","SIMPATIA_Cs_0_10","SIMPATIA_CUP_0_10","SIMPATIA_DRETES_0_10","SIMPATIA_ERC_0_10","SIMPATIA_ESQUERRES_0_10","SIMPATIA_FEMINISTES_0_10","SIMPATIA_INDEPENDENTISTES_0_10","SIMPATIA_JXCAT_0_10","SIMPATIA_PP_0_10","SIMPATIA_PSC_0_10","SIMPATIA_UNIONISTES_0_10","SIMPATIA_VOTANTS_CEC_0_10","SIMPATIA_VOTANTS_Cs_0_10","SIMPATIA_VOTANTS_CUP_0_10","SIMPATIA_VOTANTS_ERC_0_10","SIMPATIA_VOTANTS_JXCAT_0_10","SIMPATIA_VOTANTS_PP_0_10","SIMPATIA_VOTANTS_PSC_0_10","SIMPATIA_VOTANTS_VOX_0_10","SIMPATIA_VOX_0_10","VAL_C_PUIGDEMONT","VAL_GOV_CAT","VAL_GOV_ESP","VAL_I_ARRIMADAS","VAL_O_JUNQUERAS","Clusters"
"1",7,3,3,7,7,6,4,7,3,6,3,3,6,7,6,4,6,2,7,3,4,2,3,4,7,7,7,5,4,3,6,4,2,2,3,7,5,3,6,2,2,7,7,5,7,8,"2"
"2",5,5,5,5,5,5,0,5,0,8,3,6,5,3,8,0,5,0,5,5,0,6,3,5,3,3,8,7,7,2,5,7,6,5,3,3,9,3,9,0,0,4,3,3,5,4,"2"
"3",5,7,3,6,8,7,2,7,0,5,4,6,5,4,4,8,4,10,8,4,3,0,3,4,5,5,5,5,5,0,5,5,5,3,5,6,5,4,5,0,0,7,5,5,1,7,"2"
"4",8,6,1,7,7,8,3,7,0,4,6,8,2,4,5,5,5,10,5,5,2,0,4,1,7,9,7,8,5,1,3,0,4,0,4,7,4,2,3,0,0,6,5,5,0,5,"3"
"5",10,7,0,7,9,9,0,3,0,0,7,10,7,5,4,10,7,10,0,0,0,0,0,0,10,8,8,10,10,0,0,0,6,0,5,8,6,0,0,0,0,5,0,0,0,8,"3"
"6",5,5,4,9,8,7,4,5,4,2,3,7,1,2,6,7,6,9,7,7,0,3,7,3,7,9,7,5,3,0,3,5,7,5,7,7,5,4,5,4,0,4,6,6,4,8,"2"
"7",10,5,0,10,9,9,0,3,0,3,2,9,0,3,9,10,7,10,0,8,0,0,8,5,10,8,8,8,7,0,4,0,6,0,10,6,7,0,4,0,0,10,5,4,0,10,"3"
"8",7,8,2,9,10,9,0,4,0,7,7,4,6,0,8,10,3,1,6,2,2,0,5,7,9,10,10,10,9,0,4,4,5,2,8,10,10,0,4,0,0,10,5,5,4,10,"3"
"9",10,5,0,10,9,8,0,3,0,0,4,10,0,2,3,10,7,10,8,3,0,0,7,0,5,8,10,10,5,0,0,0,5,0,8,8,8,0,3,0,0,8,4,2,0,8,"3"
"10",7,4,0,9,8,5,1,2,0,4,3,10,2,5,8,9,6,10,4,7,1,0,4,5,9,9,8,7,6,3,6,5,7,0,4,8,5,3,6,1,1,2,7,4,1,8,"3"
"11",6,2,2,6,4,4,1,5,0,5,5,5,5,5,6,5,5,10,6,5,4,3,5,5,5,5,5,6,6,4,4,4,5,4,5,5,5,4,5,3,0,7,6,6,3,7,"2"
"12",5,2,7,10,10,10,7,5,8,7,0,6,0,2,10,7,4,9,5,0,2,7,0,6,0,5,5,0,0,10,0,7,0,6,0,4,0,8,4,6,4,0,3,0,7,2,"1"
"13",10,3,0,6,5,6,0,2,0,5,6,10,2,5,6,9,5,10,10,0,0,0,4,2,2,6,6,10,5,0,0,0,0,0,4,4,4,0,0,0,0,5,0,0,0,3,"3"
"14",10,4,9,1,2,1,9,8,10,2,5,9,2,3,3,9,5,10,9,6,0,0,7,0,7,9,9,9,7,0,5,0,5,1,8,8,7,2,5,0,0,8,6,3,1,8,"3"
"15",8,5,0,8,9,5,0,2,0,3,2,9,2,3,5,8,5,10,3,7,0,2,7,3,8,8,8,8,5,0,3,3,7,2,7,8,5,0,5,0,0,7,4,2,0,8,"3"
"16",4,7,1,10,9,10,1,1,0,6,5,5,0,1,5,6,5,10,6,0,0,7,0,5,2,4,8,0,0,4,6,6,1,8,0,0,2,6,6,0,0,0,3,4,8,0,"1"
"17",6,4,0,10,9,8,0,3,0,4,3,8,1,3,7,8,5,8,6,6,4,0,6,6,7,7,6,6,6,0,4,3,5,0,5,7,7,2,4,1,1,4,5,4,0,5,"3"
